ticker,code,date,summary_gpt,sentiment_gpt,category_gpt,url
INFOSYS,500209,2025-05-02,"Infosys Limited announced its participation in multiple investor meetings, including roadshows and conferences across various global locations from May to June 2025, to engage with investors and analysts. The company also confirmed that details of these events will be available on its website.",10,investor_relations,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fd34a6b9-c929-48c2-88d2-850dbeb4aa6b.pdf
INFOSYS,500209,2025-05-02,Infosys Limited announced the transfer of its subsidiary BASE Life Sciences Inc. from its parent company to Infosys BPM UK Limited to improve operational efficiency and expand market presence. The restructuring is an internal transfer of shareholding with no immediate impact on promoters or shareholding patterns.,10,corporate_restructuring,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b291624a-e6ae-480e-bdc3-dac41248a755.pdf
INFOSYS,500209,2025-05-02,Infosys has completed the acquisition of Australian cybersecurity firm The Missing Link to enhance its cybersecurity offerings and strengthen its presence in the Australian market. The deal aims to provide advanced end-to-end cybersecurity solutions and bolster Infosys' global digital transformation services.,70,acquisition,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d42a6364-0c90-4f6e-b9e7-c452737f621c.pdf
INFOSYS,500209,2025-05-01,"Infosys Limited has issued newspaper advertisements regarding the loss of share certificates, which will also be hosted on their website for record-keeping.",0,corporate_update,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5addc23f-9551-4e94-83ad-00425f051cca.pdf
INFOSYS,500209,2025-05-01,"Infosys has completed the acquisition of MRE Consulting, a leader in energy trading and risk management solutions, to strengthen its capabilities in the energy sector and digital transformation services. This strategic move aims to enhance Infosys's offerings in energy and commodity trading, leveraging MRE's expertise and client base.",30,acquisition,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4baa8236-0dc7-4323-9f19-4f0975976733.pdf
INFOSYS,500209,2025-04-30,"Infosys announced a strategic collaboration with Yorkshire Building Society to accelerate its digital transformation by implementing next-generation technologies such as cloud, AI, and cybersecurity to enhance customer experience and operational efficiency. The partnership aims to support Yorkshire Building Society's 2030 strategic plan for growth, innovation, and future scalability.",70,partnership,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1b918b64-b08a-4b76-aaf5-566aab84fa8c.pdf
INFOSYS,500209,2025-04-29,"Infosys announced the launch of Infosys Topaz for SAP S/4HANA Cloud, an AI-first suite designed to accelerate SAP S/4HANA Cloud transformation, improve business processes, and unlock data value for enterprises. The suite leverages generative AI, industry-specific playbooks, and accelerators to enhance adoption, efficiency, and future-ready architecture.",30,product_launch,https://www.bseindia.com/xml-data/corpfiling/AttachLive/184571fe-d752-4d9b-8361-550e0d03f396.pdf
INFOSYS,500209,2025-04-24,"Infosys Foundation announced the fourth edition of its Aarohan Social Innovation Awards, with a focus on supporting social innovators in India across education, healthcare, and environmental sustainability, committing INR 2 crore in total awards. The initiative aims to recognize impactful technology-based solutions addressing social challenges, encouraging participation from Indian citizens aged 18 and above.",20,CSR,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fb2588ab-76d8-423b-8b9b-ec9dd7aabc3d.pdf
INFOSYS,500209,2025-04-23,"Infosys Limited has incorporated a wholly-owned subsidiary in Australia named Infosys Australia Technology Services Pty Ltd, with 100% ownership held through its subsidiary Infosys Singapore Pte. Ltd. The new entity is in the Information Technology and IT-enabled Services sector, and the incorporation is part of the company's strategic expansion.",20,corporate_update,https://www.bseindia.com/xml-data/corpfiling/AttachLive/30ea493b-fcd5-4fb2-aaf9-df706e922ed7.pdf
INFOSYS,500209,2025-04-22,"Infosys Limited has incorporated a wholly-owned subsidiary in the United States named Infosys Energy Consulting Services LLC, primarily for energy sector activities. The subsidiary was recently established, with Infosys holding 100% of its shares through its subsidiary, Infosys Nova Holdings LLC.",20,corporate_update,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d66ec503-2167-4e89-a452-a28624a047c1.pdf
INFOSYS,500209,2025-04-22,"Infosys announced its Q4 FY25 financial results, highlighting 4.2% growth, 21.1% operating margin, and significant investments in AI, strategic acquisitions, and expansion in energy, consulting, and cybersecurity sectors. The company emphasized its strong position in AI-led transformation and strategic growth initiatives across multiple regions.",70,earnings_call_transcript,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8c8bbc00-087d-4d75-9171-d37a3f83a170.pdf
