ticker,code,date,summary_gpt,sentiment_gpt,category_gpt,url
KPIL,505283,2025-04-30,"The filing reports the transcript of Kirloskar Pneumatic Company's Q4 and FY'25 earnings conference call, discussing financial results and company updates. The management highlighted their financial performance and strategic outlook during the call held on April 24, 2025.",10,Earnings,https://www.bseindia.com/xml-data/corpfiling/AttachLive/145eda94-d549-47ae-a3cd-7913823f7883.pdf
KPIL,505283,2025-04-26,"Kirloskar Pneumatic Company Limited reported its audited financial results for the quarter and year ended March 31, 2025, showing a significant increase in net profit and total income compared to the previous year. The company also announced the publication of these results in major newspapers as per regulatory requirements.",30,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/33989c24-6b1f-4483-8f73-b3d7477f9390.pdf
KPIL,505283,2025-04-25,"The filing is a Secretarial Compliance Report for Kirloskar Pneumatic Company Limited for FY 2024-25, confirming adherence to applicable SEBI regulations and statutory provisions. The report indicates the company has complied with relevant legal and regulatory requirements during the review period.",20,Compliance,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dab85308-8195-45b9-bb58-1a81e6462228.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic has allotted 4,600 new equity shares to employees under its 2019 Employee Stock Option Scheme, increasing its total share capital to approximately Rs. 12.98 crore. This indicates ongoing employee incentivization and capital structure management.",10,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/aceb1016-014f-4db2-9eb4-568ca5d7aaa1.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic Company Limited held a conference call to discuss its audited financial results for the quarter and year ending March 31, 2025. The audio recording of the call is now available on the company's website.",0,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f753862d-3234-4a34-8673-0b62261b67f1.pdf
KPIL,505283,2025-04-24,"The company announced the appointment of Mrs. Varsha Purandare as a director for a five-year term from April 24, 2025, to April 23, 2030, correcting an earlier typographical error regarding the appointment date. The filing clarifies the appointment details and updates the record accordingly.",0,Corporate,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a6af6893-6068-484e-aa96-61ed4614f998.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic reported a record order booking of Rs. 1860 crore and highest-ever sales of Rs. 1629 crore for FY25, along with a strong profit before tax of Rs. 281 crore. The company highlighted its ESG initiatives, new intellectual properties, and a positive CRISIL rating outlook, indicating robust growth and strategic focus.",70,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/66428daa-974a-467b-be7e-0221e5c90693.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic Company Limited reported a 23% increase in revenue for FY25, reaching Rs. 1629 crore, with a record dividend payout of 500% for the year. The company also demonstrated strong quarterly growth, with significant increases in profit and order book size, alongside ongoing product innovation and capacity expansion.",80,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/10be78a8-cc93-472c-8437-a253f3bd69eb.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of new directors and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a00c8f9b-5fd5-41ed-97d8-3f35dc03be98.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of a new independent director and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8a4b311c-e04a-4498-b039-a1cd7c626afe.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of a new independent director and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cb463299-b792-4ca9-86eb-282f9f8b10fb.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of new directors and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/15f871a0-8666-43f1-b71a-28e72175c873.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of new directors and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0e61946e-0111-4b3a-9c1d-5099a3367c3c.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of a new independent director and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1a157d3d-42f4-4f9f-a629-c3987b0d2000.pdf
KPIL,505283,2025-04-24,"Kirloskar Pneumatic announced its audited financial results for FY 2024-25 with an unmodified auditor's opinion, recommended a 325% dividend, and approved the appointment of a new independent director and secretarial auditors. The company’s financial health appears stable, and it is taking strategic governance steps.",20,Financials,https://www.bseindia.com/xml-data/corpfiling/AttachLive/27c08466-2ee5-4704-b213-b4f942fb04f9.pdf
